"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000179348",2118.62830262504,-4.93255350217133,0.176812707481566,1.53628094529624e-171,1.10225830126603e-168
"ENSG00000226259",2239.80741067116,-3.26496171748849,0.119734969504134,1.39144943100599e-164,9.68980828762615e-162
"ENSG00000065618",48072.6758447769,13.50266220277,0.499429885815263,3.76518364764388e-163,2.54709294929326e-160
"ENSG00000188042",4825.95127518644,6.20304305083937,0.228232738816739,4.44109873359019e-163,2.92088596431152e-160
"ENSG00000137699",4384.49697688711,7.7234042524961,0.285228619010689,3.75790536171587e-162,2.40475473646883e-159
"ENSG00000105974",22205.7842958536,12.3540112889938,0.458018451704899,3.99768639487858e-162,2.49087423083e-159
"ENSG00000157227",15728.8597290647,11.6480509110261,0.433381973541273,8.28769904012037e-161,5.03148333776744e-158
"ENSG00000182534",1901.27715110888,5.39228684332169,0.200183294123908,3.95563990077085e-160,2.34144214826378e-157
"ENSG00000185479",4467.08733605551,7.79256100902158,0.289725565636812,4.92453807778854e-160,2.84386068458047e-157
"ENSG00000139926",3263.27574884883,6.67944992663365,0.251010281143816,1.66627913878837e-156,9.39345027835528e-154
"ENSG00000113140",4132.5762670513,10.3455476796025,0.390791217285628,9.47552464151023e-156,5.21748830086134e-153
"ENSG00000165025",973.732857213836,5.18247007736212,0.19754254469574,5.4311110951122e-152,2.92255494088572e-149
"ENSG00000139211",4672.471767237,9.25851916392319,0.354110223712707,1.03662641893243e-151,5.45426749356958e-149
"ENSG00000103202",1424.70336010484,5.55227146195982,0.211931236353399,1.2873441752555e-151,6.6261843559836e-149
"ENSG00000087077",2577.13085204265,6.49119932128972,0.248212831435342,3.25249765170677e-151,1.63849759360556e-148
"ENSG00000134363",12583.8537005515,12.3772822878981,0.477431527808188,4.47082901530704e-150,2.20532955407135e-147
"ENSG00000102024",8514.28095627174,2.56847715213611,0.0989622914593286,5.29323146086966e-150,2.55771104691859e-147
"ENSG00000117525",19172.2250998583,13.1090492520798,0.508080484133681,7.15950061025083e-149,3.39030991897818e-146
"ENSG00000178363",5307.63860993368,11.0720706415679,0.431152561698511,5.80758570374784e-147,2.6962001315223e-144
"ENSG00000167644",1599.15310839637,8.06873236717933,0.313678985651434,1.15543610679648e-146,5.2610116731962e-144
"ENSG00000150687",2982.93689803487,5.866073952319,0.228070484093427,2.93405820146404e-146,1.31074898181253e-143
"ENSG00000169129",1604.31831267451,6.77708598940451,0.263895795366299,5.93958709425316e-146,2.60428895612281e-143
"ENSG00000175793",26380.971081783,10.9476182278841,0.428523228323803,1.90550532259893e-145,8.20302718603178e-143
"ENSG00000075618",9572.903775678,6.06462534187854,0.236963048860115,7.26429436205434e-145,3.07136960018501e-142
"ENSG00000149269",1455.11854489906,7.28693082479272,0.285140386883566,1.20758270707393e-144,5.01612907989288e-142
"ENSG00000167183",1063.39972216786,-6.60429986133693,0.263331888932315,2.7423846892087e-139,1.11950762562749e-136
"ENSG00000115306",8311.45185067944,7.93939760858258,0.317119891418652,4.70820628229705e-139,1.88942712111775e-136
"ENSG00000114019",1899.10787983205,5.04901756006385,0.201892995707276,2.57932330792876e-138,1.01784396603049e-135
"ENSG00000095383",2218.3820282215,4.81429719760314,0.192531482581939,2.86780819648212e-138,1.11313269947716e-135
"ENSG00000140859",1127.18800503527,6.77480934697371,0.271221716412712,3.22912966005213e-138,1.23316295098475e-135
"ENSG00000140526",21221.3895781649,-3.40328994834631,0.136736175192276,1.76726331982838e-137,6.64182438469468e-135
"ENSG00000099337",971.335797625652,7.0785082500342,0.284293342119562,2.12893751544261e-137,7.87607086767728e-135
